study_type,poverty_context,mechanism,behavior,title,date
"Observational, Longitudinal / Panel","Low resource level, Physical environment","Stress, Locus of control","Consumption, Investing",THE ECONOMIC AND SOCIAL IMPACTS OF WATER SCARCITY IN THE IR IRAN,2019
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress",Crime,Sex-Related Disparities in Criminal Justice and HIV Treatment Outcomes: A Retrospective Cohort Study of HIV-Infected Inmates,2015
"Observational, Cross-sectional",Low resource level,"Aspirations, Locus of control","Consumption, Investing",U.S. Income Inequality and Income Mobility in the 1980s and 1990s,2008
"Observational, Cross-sectional","Low resource level, Resource volatility","Stress, Risk preferences","Consumption, Labor Supply",Assessing the Impact of COVID-19 Pandemic on Vulnerable Populations in Bangladesh,2021
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Depression, Stress",Educational achievement,Association Between Work and Common Mental Disorders in School Adolescents: The ERICA Study,2020
Longitudinal / Panel,Low resource level,"Attention, Executive control, Executive function",Educational achievement,The Material Context of Adolescent Identity Formation: A Family Economic Stress Approach,2020
"Observational, Longitudinal / Panel","Low resource level, Resource volatility, Social environment","Anxiety, Depression, Stress","Consumption, Family interaction, Crime","Acting early, changing lives: how prevention and early action saves money and improves wellbeing",2013
"Observational, Case-study",Low resource level,Aspirations,Consumption,9/11 and the Collapse of the American Dream: Imbolo Mbue's Behold the Dreamers,2020
"Observational, Systematic review",Low resource level,Risk preferences,Investing,Platform Capitalism – Boon or Bane to Society,2020
"Instrumental variable design, Observational",Low resource level,"Time preferences, Risk preferences","Investing, Saving",The Relationship between Household Wealth and Financial Vulnerability in the Post-communist Countries of the Euro Area,2022
Observational,"Low resource level, Resource volatility","Attention, Anxiety, Stress, Locus of control","Investing, Labor Supply",Gandhi: An Economist’s Eye View,2008
"Observational, First-hand observations","Low resource level, Physical environment","Anxiety, Stress",Educational achievement,Psychological Effect on children at Secondary Level after Flood Disaster District RajanPur,2023
"Observational, Cross-sectional","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,To Choose or Not to Choose: Federal Income Tax Credits and Deductions and College Choice Decisions,2013
"Observational, Interviews",Low resource level,"Anxiety, Stress",Educational achievement,“We are left to fend for ourselves”: understanding why teachers struggle to support students’ mental health,2025
"Observational, Cross-sectional",Low resource level,"Attention, Happiness","Consumption, Food diet",Pleasure vs. identity: More eating simulation language in meat posts than plant-based posts on social media #foodtalk,2022
Cross-sectional,"Low resource level, Social environment","Anxiety, Depression",Violence,Intimate partner violence and its association with maternal depressive symptoms 6–8 months after childbirth in rural Bangladesh,2014
"Observational, Interviews",Low resource level,"Anxiety, Stress",Consumption,Social Responses and Narrative Experiences of the Filipino Middle Class to the COVID-19 Crisis,2021
"Observational, Interviews","Low resource level, Physical environment, Social environment","Self-efficacy, Self esteem","Educational achievement, Occupational choice, Family interaction",Development of Soft Skills from Out-of-School Experiences in Peru. Learnings from Non-Profit Organizations’ Activities in Public Schools in Lima,2021
"Observational, First-hand observations, Interviews","Low resource level, Resource volatility","Aspirations, Locus of control",Occupational choice,Agri-Food Markets towards Agroecology: Tensions and Compromises Faced by Small-Scale Farmers in Brazil and Chile,2021
Observational,Low resource level,"Time preferences, Risk preferences","Consumption, Investing, Educational achievement",What the Economic Crisis Means for Child Labour,2009
"Observational, Longitudinal / Panel",Low resource level,"Anxiety, Stress",Medication adherence,Maternal Psychosocial Risk Profiles in Pregnancy: Associations With Postpartum Maternal Health and Child Outcomes,2018
"Observational, Systematic review",Low resource level,"Anxiety, Stress","Exercise, Food diet",How do health behaviour interventions take account of social context? A literature trend and co-citation analysis,2017
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy",Family interaction,Understanding vulnerability and encouraging young adults to become active citizens through education: the role of adult education professionals,2019
"Observational, Interviews","Low resource level, Physical environment","Memory, Stress, Internalized stigma","Educational achievement, Family interaction","Memory, Trauma and Partition: Reading Sunanda Sikdar’s Dayamoyeer Katha",2023
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress",Family interaction,Grandmother Involvement in Mexican American Families,2014
"Observational, Interviews","Low resource level, Social environment",Stress,Family interaction,Understanding Child and Family Welfare: Statutory Responses to Children at Risk,2012
"Observational, Cross-sectional",Low resource level,"Time preferences, Risk preferences",Investing,People's Republic of China: 2011 Article IV Consultation,2011
"Observational, Interviews",Low resource level,"Time preferences, Risk preferences",Investing,"Elevating Financial Literacy Among Women Entrepreneurs: Cognitive Approach of Strong Financial Knowledge, Financial Skills and Financial Responsibility",2024
"Case-study, Observational","Low resource level, Physical environment",Locus of control,Investing,Value Chain Upgrading and the Inclusion of Smallholders in Markets: Reflections on Contributions of Multi-Stakeholder Processes in Dairy Development in Tanzania,2017
"Observational, Interviews, Focus groups","Low resource level, Social environment",Internalized stigma,Family interaction,Breastfeeding: what do women who participate in a prenatal group think?,2020
Longitudinal / Panel,Low resource level,"Anxiety, Stress",Crime,Latent profiles of children’s autonomic nervous system reactivity early in life predict later externalizing problems,2020
Observational,"Low resource level, Social environment","Anxiety, Depression",Parenting,The Effectiveness of Aftercare Services for African American Families in an Intensive Family Preservation Program,2007
Observational,Low resource level,Risk preferences,Consumption,On the knowledge gain of urban morphology from space,2022
"Observational, Difference-in-difference","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Association between nutritional status of Filipino preschool children and participation in government programmes at the household and individual levels,2024
Randomized (controlled) trial,Low resource level,"Aspirations, Time preferences",Family interaction,Sexual conflict and the Trivers-Willard hypothesis: Females prefer daughters and males prefer sons,2018
"Difference-in-difference, Observational, Longitudinal / Panel","Low resource level, Resource volatility","Anxiety, Stress, Time preferences","Consumption, Saving","Health shocks, medical insurance and household vulnerability: Evidence from South Africa",2020
"Observational, Longitudinal / Panel","Low resource level, Social environment",Locus of control,Consumption,Risk Management and Social Visibility in Ghana*,2009
"Ethnography, First-hand observations",Low resource level,"Happiness, Stress",Parenting,"Alaga sa Hilot: Unraveling Local Knowledge, Practices, and Experiences on Pregnancy and Childbirth in a Community in Batangas, Philippines",2022
"Observational, Interviews","Low resource level, Resource volatility","Aspirations, Self-efficacy, Stress","Labor Supply, Investing","Reskilled and Integrated, but How? Navigating Trauma and Temporary Hardships",2022
"Observational, Cross-sectional, Interviews","Low resource level, Resource volatility","Stress, Self-efficacy","Consumption, Food diet",Literacy is power: structural drivers of child malnutrition in rural Liberia,2020
"Observational, Cross-sectional",Low resource level,"Executive function, Locus of control",Educational achievement,Measuring social and psychological factors through home-study setting towards improved academic performance,2023
"Observational, Cross-sectional",Low resource level,"Attention, Time preferences",Consumption,Consumer vulnerability: are older people more vulnerable as consumers than others?,2015
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Anxiety, Depression, Stress","Consumption, Food diet",Food Insecurity Among Formerly Incarcerated Adults,2019
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Depression, Stress",Consumption,Predictors of quality of life enjoyment and satisfaction in individuals living with HIV and AIDS in a resource-constrained setting in South Africa,2015
"Observational, Interviews",Low resource level,"Aspirations, Locus of control",Educational achievement,The New Teacher Education: For Better or for Worse?,2005
Ethnography,Low resource level,"Fluid intelligence, Aspirations",Labor Supply,"Working Less, Not More in a Workfare Programme: Group Solidarity, Informal Norms and Alternative Value Systems Amongst Activated Participants",2021
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Social environment","Anxiety, Depression, Stress","Consumption, Family interaction",A trend in women's health in India - what has been achieved and what can be done,2010
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Family interaction,Everyday ethical challenges for Indian community development practitioners during the COVID-19 pandemic,2022
Observational,Low resource level,Self-efficacy,Labor Supply,Enterprise and Inequality: A Study of Avon in South Africa,2012
"Observational, Cross-sectional, Longitudinal / Panel",Low resource level,"Aspirations, Locus of control",Consumption,Older‐Age Social Pensions and Poverty: Revisiting Assumptions on Targeting and Universalism,2019
"Observational, Cross-sectional",Low resource level,Risk preferences,"Borrowing, Consumption, Investing",In the Midst of Digital Economy,2021
"Observational, Case-study",Human capital inputs,"Executive control, Executive function",Educational achievement,Re-mediating the University: Learning through Sociocritical Literacies,2009
"Interviews, Observational",Low resource level,Self-efficacy,Family interaction,Improving Community Welfare through the Hopeful Family Program,2023
Observational,"Low resource level, Resource volatility, Physical environment","Anxiety, Stress",Crime,From Alms to Arms: The Almajiri Phenomenon and Internal Security in Northern Nigeria,2013
Observational,"Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Exploration and Practice of New Models for Assisting and Aiding Economically Disadvantaged Students in Universities,2023
"Observational, Interviews","Low resource level, Social environment","Aspirations, Locus of control, Self-efficacy","Labor Supply, Occupational choice",THE EFFECT OF EMPOWERMENT TOWARDS WORK ETHOS AND THE QUALITY OF POOR FAMILY LIVING,2019
"Observational, Interviews","Human capital inputs, Social environment",Self-efficacy,"Educational achievement, Parenting",Parental Satisfaction and Involvement in the Provision of Early Childhood Special Education to their Young Children with Deafness,2020
"Observational, Case-study",Low resource level,"Aspirations, Internalized stigma",Consumption,"Critical theory in the Anthropocene: Marcuse, Marxism and ecology",2020
Cross-sectional,Low resource level,"Anxiety, Depression",Crime,Pathways to sympathies for violent protest and terrorism,2016
"Observational, Cross-sectional","Low resource level, Physical environment","Aspirations, Self-efficacy","Educational achievement, Occupational choice",What factors explain women's empowerment? Decision-making among small-scale farmers in Uganda,2018
"Difference-in-difference, Observational",Low resource level,Stress,Educational achievement,Spending to save? State health expenditure and infant mortality in India,2007
"Observational, Cross-sectional","Low resource level, Human capital inputs","Self-efficacy, Self esteem","Exercise, Food diet",Health promotion in young adults at a university in Korea,2017
"Observational, Longitudinal / Panel","Low resource level, Resource volatility","Anxiety, Stress, Internalized stigma",Crime,"Structural adjustment, alienation, and mass protest",2022
"Observational, Interviews","Low resource level, Social environment","Anxiety, Depression, Self esteem","Consumption, Medication adherence",Pathways and trajectories linking housing instability and poor health among low-income women experiencing intimate partner violence (IPV): Toward a conceptual framework,2015
"Observational, Interviews","Low resource level, Social environment","Self-efficacy, Locus of control","Investing, Educational achievement",Co-Opting Respectability,2015
Observational,Low resource level,"Anxiety, Stress","Consumption, Insufficient info",Addressing the Financial Consequences of Cancer: Qualitative Evaluation of a Welfare Rights Advice Service,2012
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Internalized stigma",Medication adherence,"Ogbanje Phenomenon; Mothers Perception, and Childhood Morbidity MORBIDITY",2017
"Observational, Interviews","Low resource level, Human capital inputs",Self-efficacy,Educational achievement,Merging Social Justice and Accountability: Educating Qualified and Effective Teachers,2005
"Observational, Interviews",Low resource level,"Aspirations, Locus of control",Educational achievement,Deepening College Students' Engagement with Religion and Theology through Community Service Learning,2011
"Observational, Case-study, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Family interaction,Power and Empowerment in Transdisciplinary Research: A Negotiated Approach for Peri-Urban Groundwater Problems in the Ganges Delta,2021
Difference-in-difference,"Low resource level, Human capital inputs","Self-efficacy, Aspirations",Educational achievement,The impact of an inclusive education intervention on learning outcomes for girls with disabilities within a resource-poor setting,2020
Longitudinal / Panel,Human capital inputs,"Executive control, Executive function, Anxiety",Educational achievement,The predictive significance of early caregiving experiences for symptoms of psychopathology through midadolescence: Enduring or transient effects?,2012
"Observational, Interviews",Low resource level,"Stress, Locus of control",Crime,Corruption as Cankerworms towards Economic Development in Nigeria,2017
"Observational, Longitudinal / Panel",Low resource level,"Anxiety, Depression","Consumption, Food diet",Association between Depressive Symptoms and Food Insecurity among Indonesian Adults: Results from the 2007–2014 Indonesia Family Life Survey,2019
"Observational, Longitudinal / Panel",Human capital inputs,"Working memory, Aspirations",Educational achievement,English Reading Growth in Spanish‐Speaking Bilingual Students: Moderating Effect of English Proficiency on Cross‐Linguistic Influence,2019
"Observational, Interviews",Low resource level,"Fluid intelligence, Internalized stigma",Occupational choice,Deconstructing self-organisation in microentrepreneurship: A social embeddedness perspective,2023
"Observational, Interviews",Social environment,Internalized stigma,Family interaction,The Dialogue that Died,2014
"Observational, Interviews","Low resource level, Human capital inputs",Aspirations,Educational achievement,System approach to pedagogical discourse: CLD learners,2017
Observational,"Low resource level, Resource volatility","Anxiety, Stress","Consumption, Medication adherence",Post-traumatic stress disorder symptomatology and alcohol use among HIV-seropositive adults in Haiti,2013
"Observational, Longitudinal / Panel",Low resource level,Time preferences,Saving,Poverty Reduction in Regencies/Municipalities in South Sumatra Province,2020
"Observational, Longitudinal / Panel","Low resource level, Resource volatility","Time preferences, Risk preferences","Consumption, Saving","Economic Transition, Institutional Changes and the Health System: Some Lessons from Rural China",2007
"Observational, Longitudinal / Panel","Low resource level, Resource volatility",Risk preferences,Consumption,"Social Class, Life Events and Poverty Risks in Comparative European Perspective",2015
"Observational, Interviews","Low resource level, Physical environment","Aspirations, Locus of control",Crime,"Fatherhood, marriage and HIV risk among young men in rural Uganda",2015
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Physical environment","Attention, Executive control, Executive function","Consumption, Food diet",Measuring multiple facets of malnutrition simultaneously: the missing link in setting nutrition targets and policymaking,2015
"Randomized (controlled) trial, Observational","Low resource level, Physical environment","Executive control, Executive function",Educational achievement,"Instability versus quality: Residential mobility, neighborhood poverty, and children’s self-regulation.",2014
"Observational, Interviews",Low resource level,Self-efficacy,Investing,Institution reinforcement of mosque in social economic empowerment of small traders community,2021
Observational,Low resource level,Internalized stigma,Violence,An Intersectional Analysis of Sex Trafficking Films,2014
Observational,Low resource level,"Happiness, Self-efficacy",Educational achievement,The Effect of Religiosity on Poor Adult Woman’s Meaningfulness of Life,2020
Observational,"Low resource level, Physical environment","Stress, Internalized stigma","Consumption, Saving","Urban Governance and Urban Poverty: The Critical Analysis of Basic Services Provision in Maseru, Lesotho",2016
"Observational, Longitudinal / Panel","Low resource level, Resource volatility","Time preferences, Risk preferences","Consumption, Investing","Livelihoods, precarity, and disaster vulnerability: Nicaragua and Hurricane Mitch",2019
"Observational, Interviews","Low resource level, Social environment","Self-efficacy, Self esteem",Educational achievement,2010,2010
"Observational, Longitudinal / Panel","Low resource level, Resource volatility, Social environment","Anxiety, Depression, Stress",Educational achievement,"1198The gendered associations between poverty, marital status, and mental health in older Australians",2021
"Interviews, Observational","Low resource level, Resource volatility","Anxiety, Depression",Crime,Sexual Violence and Child Poverty: Lived Experiences of Child Sexual Violence Survivors in Nigeria,2021
Observational,"Low resource level, Social environment","Anxiety, Stress",Food diet,From HIV prevention to HIV protection: addressing the vulnerability of girls and young women in urban areas,2006
"Interviews, Observational","Low resource level, Resource volatility","Anxiety, Stress, Locus of control",Labor Supply,Union militancy during economic hardship,2016
"Randomized (controlled) trial, Observational","Low resource level, Social environment","Self-efficacy, Self esteem",Parenting,Dads Tuning in to Kids: A randomized controlled trial of an emotion socialization parenting program for fathers,2019
"Observational, Cross-sectional","Low resource level, Social environment",Internalized stigma,Educational achievement,"Children with paralytic poliomyelitis: a cross-sectional study of knowledge, attitudes and beliefs of parents in Zamfara state, Nigeria",2012
"Observational, Longitudinal / Panel","Low resource level, Resource volatility","Stress, Risk preferences","Consumption, Labor Supply","Impact of COVID 19 on the Women Vendors of Ima Market, Manipur",2022
Observational,"Low resource level, Resource volatility","Aspirations, Locus of control",Labor Supply,"4 - Post-Independence Development Planning in Ghana and Tanzania: Agriculture, Women and Nation-building",2022
"Observational, Longitudinal / Panel","Low resource level, Social environment","Aspirations, Self-efficacy","Educational achievement, Family interaction",Mothers' Union Statuses and Their Involvement in Young Children's Schooling,2016
"Observational, Case-study","Low resource level, Physical environment","Anxiety, Stress",Educational achievement,Mentoring Program for Young Adults with Sickle Cell Disease,2018
Cross-sectional,Low resource level,Time preferences,Investing,"The changing pattern of European country groups: Economic, financial, and health indicators, 2000–2015",2021
"Observational, Longitudinal / Panel","Low resource level, Physical environment",Aspirations,"Consumption, Saving",Family planning in conflict: results of cross-sectional baseline surveys in three African countries,2011
Observational,"Low resource level, Resource volatility","Anxiety, Stress, Aspirations","Crime, Violence","Political, Legal, And Socio-Cultural Measures To Counter Extremism And Terrorism",2022
"Observational, Cross-sectional","Low resource level, Social environment",Locus of control,Saving,Personal Retirement Accounts &amp; the American Welfare State: A Study of Income Volatility and Socioeconomic Status as Correlates of PRA Support,2008
Ethnography,Low resource level,Internalized stigma,Violence,The Loneliness of Youth Homeless,2006
"Observational, Ethnography, First-hand observations","Low resource level, Social environment","Stress, Aspirations",Educational achievement,"Juggling access vs retention and academic performance: The experience of a lecturer teaching in an open, distance e-learning institution",2024
Observational,Low resource level,"Aspirations, Locus of control","Labor Supply, Occupational choice",The gender gap in time allocation,2022
"Observational, Case-study, Interviews","Low resource level, Physical environment, Social environment","Internalized stigma, Locus of control",Family interaction,Exploring slum life and urban poverty in Lagos: the politics of everyday resistance in Chris Abani's Graceland,2023
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy",Educational achievement,Mentoring into higher education: A useful addition to the landscape of widening access to higher education?,2014
Randomized (controlled) trial,Low resource level,Aspirations,Educational achievement,Effects on School Enrollment and Performance of a Conditional Cash Transfer Program in Mexico,2012
Observational,"Low resource level, Social environment","Anxiety, Depression",Violence,Risk and Protective Factors for Depressive Symptoms Among Indigenous Older Adults: Intimate Partner Violence (IPV) and Social Support,2016
Observational,"Low resource level, Resource volatility, Physical environment","Time preferences, Risk preferences","Investing, Labor Supply","Rural Household Livelihood Strategies: Options and Determinants in the Case of Wolaita Zone, Southern Ethiopia",2014
"Observational, Interviews","Low resource level, Human capital inputs",Self-efficacy,Educational achievement,Role of School Counselors in Creating Equitable— Educational Opportunities for Students With Disabilities in Urban Settings,2009
